Crop,Subcrop 1,Subcrop 2,Subcrop 3
Rice,Mustard,Mungbean,Blackgram
Maize,Cowpea,Pumpkin,Sunflower
Chickpea,Mustard,Linseed,Barley
Kidneybeans,Radish,Spinach,Onion
Pigeonpeas,Fingermillet,Soybean,Blackgram
Mothbeans,Sorghum,Amaranth,Cowpea
Mungbean,Maize,Sesame,Peanut
Blackgram,Greengram,Cowpea,Mustard
Lentil,Linseed,Barley,Chickpea
Pomegranate,Radish,Coriander,Cabbage
Banana,Turmeric,Ginger,Sweetpotato
Mango,Guava,Papaya,Banana
Grapes,Mustard,Clover,Pigeonpeas
Watermelon,Cucumber,Pumpkin,Cowpea
Muskmelon,Cucumber,Bottlegourd,Pumpkin
Apple,Strawberry,Mint,Peach
Orange,Lemon,Papaya,Guava
Papaya,Banana,Pineapple,Coconut
Coconut,Turmeric,Ginger,Banana
Cotton,Soybean,Blackgram,Mustard
Jute,Chickpea,Sesame,Mungbean
Coffee,Cardamom,Pepper,Turmeric
